"genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","x_a","y_a","x_b","y_b","fitness_diff","k","exp_num"
22,54,5.34042,5.34042,0,0,1,1,3.0371807,3.760143,0.5,0.333333333333333,0.666666666666667,0.75,0.7229623,0,0
23,22,5.34042,5.34042,0,0,1,1,2.4190787,3.0371807,0.666666666666667,0.125,0.5,0.333333333333333,0.618101999999999,0,0
23,21,5.34042,5.34042,0,0,1,1,2.4190787,1.6769087,0.666666666666667,0.125,0.5,0.285714285714286,-0.74217,0,0
23,19,5.34042,5.34042,0,0,1,1,2.4190787,3.1370397,0.666666666666667,0.125,0.5,0.238095238095238,0.717961,0,0
23,31,5.34042,5.34042,0,0,1,1,2.4190787,3.2813947,0.666666666666667,0.125,0.833333333333333,0.142857142857143,0.862316,0,0
23,7,5.34042,5.34042,0,0,1,1,2.4190787,2.3010667,0.666666666666667,0.125,0.5,0.0476190476190476,-0.118012,0,0
23,55,5.34042,5.34042,0,0,1,1,2.4190787,3.142041,0.666666666666667,0.125,0.833333333333333,0.428571428571429,0.7229623,0,0
24,25,5.34042,5.34042,0,0,1,1,3.8752877,3.2571857,0.333333333333333,0.625,0.5,0.380952380952381,-0.618101999999999,0,0
24,26,5.34042,5.34042,0,0,1,1,3.8752877,4.6174577,0.333333333333333,0.625,0.5,0.428571428571429,0.74217,0,0
24,28,5.34042,5.34042,0,0,1,1,3.8752877,3.1573267,0.333333333333333,0.625,0.5,0.476190476190476,-0.717961,0,0
24,16,5.34042,5.34042,0,0,1,1,3.8752877,3.0129717,0.333333333333333,0.625,0.166666666666667,0.714285714285714,-0.862316,0,0
24,8,5.34042,5.34042,0,0,1,1,3.8752877,3.7572757,0.333333333333333,0.625,0.166666666666667,0.571428571428571,-0.118012,0,0
24,56,5.34042,5.34042,0,0,1,1,3.8752877,4.59825,0.333333333333333,0.625,0.5,0.952380952380952,0.7229623,0,0
25,24,5.34042,5.34042,0,0,1,1,3.2571857,3.8752877,0.5,0.380952380952381,0.333333333333333,0.625,0.618101999999999,0,0
25,27,5.34042,5.34042,0,0,1,1,3.2571857,3.9993557,0.5,0.380952380952381,0.666666666666667,0.1875,0.74217,0,0
25,29,5.34042,5.34042,0,0,1,1,3.2571857,2.5392247,0.5,0.380952380952381,0.666666666666667,0.25,-0.717961,0,0
25,17,5.34042,5.34042,0,0,1,1,3.2571857,2.3948697,0.5,0.380952380952381,0.333333333333333,0.4375,-0.862316,0,0
25,9,5.34042,5.34042,0,0,1,1,3.2571857,3.1391737,0.5,0.380952380952381,0.333333333333333,0.25,-0.118012,0,0
25,57,5.34042,5.34042,0,0,1,1,3.2571857,3.980148,0.5,0.380952380952381,0.666666666666667,0.8125,0.7229623,0,0
26,27,5.34042,5.34042,0,0,1,1,4.6174577,3.9993557,0.5,0.428571428571429,0.666666666666667,0.1875,-0.618102,0,0
26,24,5.34042,5.34042,0,0,1,1,4.6174577,3.8752877,0.5,0.428571428571429,0.333333333333333,0.625,-0.74217,0,0
26,30,5.34042,5.34042,0,0,1,1,4.6174577,3.8994967,0.5,0.428571428571429,0.666666666666667,0.3125,-0.717961,0,0
26,18,5.34042,5.34042,0,0,1,1,4.6174577,3.7551417,0.5,0.428571428571429,0.333333333333333,0.5,-0.862315999999999,0,0
26,10,5.34042,5.34042,0,0,1,1,4.6174577,4.4994457,0.5,0.428571428571429,0.333333333333333,0.3125,-0.118012,0,0
26,58,5.34042,5.34042,0,0,1,1,4.6174577,5.34042,0.5,0.428571428571429,0.666666666666667,0.875,0.7229623,0,0
27,26,5.34042,5.34042,0,0,1,1,3.9993557,4.6174577,0.666666666666667,0.1875,0.5,0.428571428571429,0.618102,0,0
27,25,5.34042,5.34042,0,0,1,1,3.9993557,3.2571857,0.666666666666667,0.1875,0.5,0.380952380952381,-0.74217,0,0
27,31,5.34042,5.34042,0,0,1,1,3.9993557,3.2813947,0.666666666666667,0.1875,0.833333333333333,0.142857142857143,-0.717961,0,0
27,19,5.34042,5.34042,0,0,1,1,3.9993557,3.1370397,0.666666666666667,0.1875,0.5,0.238095238095238,-0.862316,0,0
27,11,5.34042,5.34042,0,0,1,1,3.9993557,3.8813437,0.666666666666667,0.1875,0.5,0.0952380952380952,-0.118012,0,0
27,59,5.34042,5.34042,0,0,1,1,3.9993557,4.722318,0.666666666666667,0.1875,0.833333333333333,0.571428571428571,0.722962299999999,0,0
28,29,5.34042,5.34042,0,0,1,1,3.1573267,2.5392247,0.5,0.476190476190476,0.666666666666667,0.25,-0.618101999999999,0,0
28,30,5.34042,5.34042,0,0,1,1,3.1573267,3.8994967,0.5,0.476190476190476,0.666666666666667,0.3125,0.74217,0,0
