rep_id,trial_id,starting_index,landscape_seed,avg_fitness,max_fitness,dom_fitness
006,56,5,,1.32769,1.331,1.331
006,57,5,,1.31769,1.331,1.331
006,58,5,,1.30776,1.331,1.331
006,59,5,,1.331,1.331,1.331
006,60,5,,1.30438,1.331,1.331
006,61,5,,1.331,1.331,1.331
006,62,5,,1.32107,1.331,1.331
006,63,5,,1.30107,1.331,1.331
006,64,5,,1.331,1.331,1.331
006,65,5,,1.31769,1.331,1.331
006,66,5,,1.31769,1.331,1.331
006,67,5,,1.331,1.331,1.331
006,68,5,,1.331,1.331,1.331
006,69,5,,1.30107,1.331,1.331
006,70,5,,1.331,1.331,1.331
006,71,5,,1.331,1.331,1.331
006,72,5,,1.30438,1.331,1.331
006,73,5,,1,1,1
006,74,5,,1.32438,1.331,1.331
006,75,5,,1.29107,1.331,1.331
006,76,5,,1.31438,1.331,1.331
006,77,5,,1.331,1.331,1.331
006,78,5,,1.331,1.331,1.331
006,79,5,,1.331,1.331,1.331
006,80,5,,1.32769,1.331,1.331
006,81,5,,1.331,1.331,1.331
006,82,5,,1.331,1.331,1.331
006,83,5,,1.31769,1.331,1.331
006,84,5,,1.32438,1.331,1.331
006,85,5,,1.331,1.331,1.331
006,86,5,,1.31438,1.331,1.331
006,87,5,,1.31114,1.331,1.331
006,88,5,,1.331,1.331,1.331
006,89,5,,1.30776,1.331,1.331
006,90,5,,1.31769,1.331,1.331
006,91,5,,1.31769,1.331,1.331
006,92,5,,1.331,1.331,1.331
006,93,5,,1.331,1.331,1.331
006,94,5,,1.331,1.331,1.331
006,95,5,,1.32769,1.331,1.331
006,96,5,,1.331,1.331,1.331
006,97,5,,1.331,1.331,1.331
006,98,5,,1.32769,1.331,1.331
006,99,5,,1.31769,1.331,1.331
006,100,5,,1.331,1.331,1.331
007,1,6,,1.331,1.331,1.331
007,2,6,,1.331,1.331,1.331
007,3,6,,1.32769,1.331,1.331
007,4,6,,1.31769,1.331,1.331
007,5,6,,1.32769,1.331,1.331
007,6,6,,1.331,1.331,1.331
007,7,6,,1.331,1.331,1.331
007,8,6,,1.31769,1.331,1.331
007,9,6,,1.331,1.331,1.331
007,10,6,,1.32438,1.331,1.331
007,11,6,,1.28452,1.331,1.331
007,12,6,,1.331,1.331,1.331
007,13,6,,1.31769,1.331,1.331
007,14,6,,1.31769,1.331,1.331
007,15,6,,1.331,1.331,1.331
007,16,6,,1.30438,1.331,1.331
007,17,6,,1.31438,1.331,1.331
007,18,6,,1.31769,1.331,1.331
007,19,6,,1.331,1.331,1.331
007,20,6,,1.331,1.331,1.331
007,21,6,,1.331,1.331,1.331
